Land-Ocean: Global Means,,,,,,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON,Temperature
1880,-0.17,-0.23,-0.08,-0.15,-0.09,-0.2,-0.17,-0.09,-0.13,-0.23,-0.21,-0.16,-0.16,***,***,-0.11,-0.15,-0.19,-0.159166666666667
1881,-0.18,-0.13,0.04,0.06,0.07,-0.18,0.01,-0.02,-0.14,-0.2,-0.17,-0.06,-0.07,-0.08,-0.16,0.06,-0.06,-0.17,-0.075
1882,0.17,0.15,0.05,-0.16,-0.13,-0.22,-0.15,-0.06,-0.14,-0.23,-0.16,-0.36,-0.1,-0.08,0.09,-0.08,-0.15,-0.17,-0.103333333333333
1883,-0.28,-0.36,-0.12,-0.18,-0.17,-0.06,-0.06,-0.13,-0.21,-0.11,-0.23,-0.1,-0.17,-0.19,-0.33,-0.15,-0.09,-0.18,-0.1675
1884,-0.12,-0.07,-0.36,-0.39,-0.33,-0.34,-0.32,-0.27,-0.26,-0.24,-0.32,-0.3,-0.28,-0.26,-0.1,-0.36,-0.31,-0.28,-0.276666666666667
1885,-0.58,-0.33,-0.26,-0.41,-0.45,-0.43,-0.33,-0.31,-0.28,-0.23,-0.23,-0.1,-0.33,-0.34,-0.4,-0.37,-0.36,-0.25,-0.328333333333333
1886,-0.43,-0.5,-0.43,-0.27,-0.24,-0.34,-0.17,-0.3,-0.23,-0.27,-0.27,-0.25,-0.31,-0.3,-0.34,-0.31,-0.27,-0.26,-0.308333333333333
1887,-0.71,-0.56,-0.35,-0.34,-0.3,-0.24,-0.25,-0.35,-0.25,-0.35,-0.26,-0.32,-0.36,-0.35,-0.51,-0.33,-0.28,-0.29,-0.356666666666667
1888,-0.33,-0.35,-0.41,-0.2,-0.21,-0.17,-0.1,-0.15,-0.11,0.02,0.03,-0.04,-0.17,-0.19,-0.34,-0.27,-0.14,-0.02,-0.168333333333333
1889,-0.08,0.17,0.07,0.1,0,-0.1,-0.07,-0.2,-0.23,-0.25,-0.33,-0.28,-0.1,-0.08,0.02,0.06,-0.12,-0.27,-0.1
1890,-0.41,-0.44,-0.4,-0.29,-0.39,-0.24,-0.27,-0.39,-0.36,-0.25,-0.43,-0.31,-0.35,-0.35,-0.38,-0.36,-0.3,-0.34,-0.348333333333333
1891,-0.33,-0.47,-0.18,-0.27,-0.16,-0.2,-0.17,-0.17,-0.15,-0.21,-0.31,-0.04,-0.22,-0.24,-0.37,-0.2,-0.18,-0.22,-0.221666666666667
1892,-0.28,-0.1,-0.4,-0.33,-0.23,-0.22,-0.31,-0.27,-0.16,-0.14,-0.41,-0.38,-0.27,-0.24,-0.14,-0.32,-0.27,-0.24,-0.269166666666667
1893,-0.81,-0.56,-0.22,-0.27,-0.33,-0.25,-0.13,-0.24,-0.21,-0.18,-0.18,-0.31,-0.31,-0.31,-0.58,-0.27,-0.21,-0.19,-0.3075
1894,-0.52,-0.28,-0.23,-0.44,-0.3,-0.4,-0.23,-0.23,-0.27,-0.23,-0.25,-0.2,-0.3,-0.31,-0.37,-0.32,-0.29,-0.25,-0.298333333333333
1895,-0.4,-0.42,-0.32,-0.21,-0.27,-0.21,-0.16,-0.17,-0.12,-0.11,-0.17,-0.14,-0.22,-0.23,-0.34,-0.27,-0.18,-0.13,-0.225
1896,-0.22,-0.12,-0.26,-0.3,-0.15,-0.11,-0.02,-0.05,-0.07,0.06,-0.04,-0.04,-0.11,-0.12,-0.16,-0.24,-0.06,-0.02,-0.11
1897,-0.15,-0.16,-0.13,-0.02,-0.01,-0.11,-0.02,-0.09,-0.08,-0.12,-0.18,-0.19,-0.11,-0.09,-0.12,-0.06,-0.08,-0.13,-0.105
1898,-0.01,-0.3,-0.5,-0.3,-0.29,-0.18,-0.21,-0.26,-0.21,-0.34,-0.38,-0.23,-0.27,-0.26,-0.17,-0.37,-0.22,-0.31,-0.2675
1899,-0.16,-0.38,-0.35,-0.2,-0.22,-0.31,-0.16,-0.08,-0.05,-0.04,0.13,-0.26,-0.17,-0.17,-0.26,-0.26,-0.18,0.01,-0.173333333333333
1900,-0.35,-0.05,0.01,-0.08,-0.08,-0.09,-0.13,-0.09,-0.05,0.1,-0.06,-0.06,-0.08,-0.09,-0.22,-0.05,-0.1,0,-0.0775
1901,-0.21,-0.1,0.07,-0.02,-0.15,-0.12,-0.14,-0.2,-0.22,-0.29,-0.17,-0.27,-0.15,-0.13,-0.12,-0.03,-0.15,-0.23,-0.151666666666667
